City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,peterhead,57.5058,-1.7981,37.8,79,1,5.57,GB,1685673231
162,arraial do cabo,-22.9661,-42.0278,70.77,82,5,12.03,BR,1685673470
163,ust-nera,64.5667,143.2,63.68,43,6,2.08,RU,1685673470
164,peniche,39.3558,-9.3811,63.1,87,22,5.55,PT,1685673471
165,callao,-12.0667,-77.15,71.89,73,0,14.97,PE,1685673471
166,mejit,10.2753,170.8646,81.1,81,77,13.06,MH,1685673471
167,guerrero negro,27.9769,-114.0611,61.05,84,0,12.48,MX,1685673472
168,sitka,57.0531,-135.33,53.49,62,100,11.5,US,1685673472
169,mukalla,14.5425,49.1242,84.38,84,32,6.96,YE,1685673472
170,wabag,-5.4781,143.7021,68.5,67,71,4.12,PG,1685673472
171,isabela,6.7085,121.9711,89.65,64,87,3.13,PH,1685673473
172,tolanaro,-25.0319,46.9987,69.87,73,20,16.11,MG,1685673473
173,abong mbang,3.9833,13.1833,67.21,99,86,2.3,CM,1685673473
174,marsh harbour,26.5412,-77.0636,80.01,76,100,3.78,BS,1685673325
175,bousso,10.4795,16.7117,83.59,54,86,5.44,TD,1685673474
176,george town,5.4112,100.3354,89.53,79,20,4.61,MY,1685673456
177,zelenoborskiy,66.845,32.3622,36.77,89,100,18.28,RU,1685673475
178,la sarre,48.8002,-79.1996,63.3,92,75,4.41,CA,1685673475
179,majene,-3.5403,118.9707,84.33,72,21,8.77,ID,1685673315
180,sainte-anne-des-monts,49.124,-66.4924,64.27,68,43,6.91,CA,1685673475
181,mikashevichy,52.2173,27.476,53.55,94,18,7.52,BY,1685673476
182,bosanska krupa,44.8825,16.1514,56.8,95,33,2.3,BA,1685673476
183,loreto,22.2667,-101.9667,78.98,17,54,8.88,MX,1685673476
184,santa cruz,-17.8,-63.1667,67.46,94,40,3.44,BO,1685673476
185,ghat,24.9647,10.1728,76.95,26,0,7.36,LY,1685673177
186,cole harbour,44.6724,-63.4751,67.96,72,20,8.05,CA,1685673477
187,reserva,-24.6503,-50.8506,49.96,84,9,1.97,BR,1685673367
188,lihue,21.9789,-159.3672,79.84,79,75,11.5,US,1685673443
189,robertsport,6.7533,-11.3686,79.93,84,100,7.49,LR,1685673478
190,tambacounda,13.7539,-13.7586,84.54,64,100,12.95,SN,1685673478
191,urangan,-25.3,152.9,71.17,67,0,6.93,AU,1685673478
192,upper dir,35.2058,71.8756,65.19,59,0,2.3,PK,1685673478
193,ta`u,-14.2336,-169.5144,82.13,72,100,10.29,AS,1685673479
194,juneau,58.3019,-134.4197,51.8,90,100,6.91,US,1685673479
195,crane,31.3974,-102.3501,80.53,50,66,23.15,US,1685673484
196,olonkinbyen,70.9221,-8.7187,33.64,98,100,18.48,SJ,1685673485
197,isangel,-19.55,169.2667,80.71,78,75,4.61,VU,1685673485
198,klyuchi,52.2667,79.1667,75.87,29,5,6.17,RU,1685673485
199,puerto ayora,-0.7393,-90.3518,77.56,93,22,1.01,EC,1685673486
200,bel ombre,-4.6167,55.4167,80.44,74,40,11.5,SC,1685673486
201,atafu village,-8.5421,-172.5159,83.73,75,97,7.11,TK,1685673486
202,priob'ye,62.5206,65.5964,62.76,66,0,17.0,RU,1685673207
203,jaciara,-15.9653,-54.9683,72.03,72,89,3.0,BR,1685673487
204,yelizovo,53.1873,158.3805,50.14,66,75,8.95,RU,1685673487
205,mount pearl,47.5166,-52.7813,44.46,96,100,6.91,CA,1685673488
206,zhaotong,27.3167,103.7167,67.78,78,100,4.79,CN,1685673488
207,afif,23.9065,42.9172,77.81,49,100,8.46,SA,1685673488
208,nishinoomote,30.7333,131.0,77.56,100,75,18.41,JP,1685673489
209,kruisfontein,-34.0033,24.7314,56.3,83,98,5.39,ZA,1685673489
210,alofi,-19.0595,-169.9187,80.49,74,75,8.05,NU,1685673489
211,saint croix,17.7397,-64.7388,81.05,86,40,11.5,VI,1685673243
212,hirara,24.8,125.2833,82.26,83,75,20.71,JP,1685673490
213,qianzhou,28.3167,109.7167,81.45,70,94,2.42,CN,1685673490
214,banda aceh,5.5577,95.3222,86.85,61,64,9.55,ID,1685673490
215,masterton,-40.9597,175.6575,60.89,60,0,7.38,NZ,1685673491
216,enewetak,11.3474,162.3373,82.02,79,93,20.09,MH,1685673492
217,port alfred,-33.5906,26.891,60.94,64,34,7.16,ZA,1685673221
218,acarau,-2.8856,-40.12,77.86,88,5,8.66,BR,1685673492
219,ulaangom,49.9811,92.0667,62.76,35,39,9.13,MN,1685673493
220,vadso,70.0744,29.7487,38.28,81,75,6.91,NO,1685673493
221,kalaleh,37.3807,55.4916,71.2,88,75,4.61,IR,1685673493
222,polyarnyy,69.1989,33.4478,38.44,76,100,17.94,RU,1685673494
223,nuuk,64.1835,-51.7216,31.87,80,98,8.01,GL,1685673494
224,whitehorse,60.7161,-135.0538,57.02,29,40,18.41,CA,1685673345
225,papao,-17.75,-149.55,78.48,67,11,10.2,PF,1685673495
226,punta arenas,-53.15,-70.9167,46.51,66,0,16.11,CL,1685673383
227,khomeyn,33.6423,50.0789,63.52,35,0,5.35,IR,1685673495
228,olyokminsk,60.3736,120.4264,71.69,28,9,0.27,RU,1685673496
229,mbeni,-11.5014,43.3775,73.47,70,4,10.36,KM,1685673496
230,sicuani,-14.2694,-71.2261,42.93,43,0,5.75,PE,1685673496
231,dungarpur,23.8333,73.7167,85.75,55,0,14.41,IN,1685673497
232,balikpapan,-1.2675,116.8289,85.19,84,40,5.75,ID,1685673497
233,lindi,-10.0,39.7167,69.44,98,11,4.18,TZ,1685673497
234,walla walla,46.0646,-118.343,72.37,42,0,9.22,US,1685673234
235,pangai,-19.8,-174.35,78.91,69,75,8.05,TO,1685673498
236,baraut,29.1,77.2667,85.39,39,98,5.95,IN,1685673498
237,arroio dos ratos,-30.0772,-51.7292,58.35,95,0,0.87,BR,1685673499
238,yermentau,51.6214,73.1069,75.96,25,78,6.15,KZ,1685673499
239,dilling,12.05,29.65,78.62,60,65,8.21,SD,1685673499
240,faya-largeau,17.9257,19.1043,88.79,36,37,5.88,TD,1685673500
241,saynshand,44.8824,110.1163,64.06,36,100,9.24,MN,1685673500
242,inhambupe,-11.7844,-38.3531,69.35,97,51,4.34,BR,1685673500
243,constantia,44.1833,28.65,57.88,62,49,2.8,RO,1685673246
244,tacna,-18.0056,-70.2483,59.9,82,100,5.75,PE,1685673410
